Species,Light,Nitrogen,Humidity,Temperature
P.ostreotus,0.911392971,37.28615827,Low,20.89506135
P.ostreotus,1.165919201,24.99168224,Low,21.23322526
P.ostreotus,0.922824717,13.66680462,Low,23.11386737
P.ostreotus,5.145401812,14.84261024,Low,24.79017167
P.ostreotus,0.895292271,21.33560628,Low,24.6957601
P.ostreotus,8.592960438,27.82582655,Low,22.53550665
P.ostreotus,14.34244146,30.96069022,High,23.74300589
P.ostreotus,4.180805228,17.63627379,High,24.53290375
P.ostreotus,3.258224756,34.44477046,High,24.27913717
P.ostreotus,13.29930742,20.20579624,High,23.64917718
P.cornucopiae,16.09938565,29.0339804,High,20.97495502
P.cornucopiae,17.33762933,16.5088844,High,21.75596875
P.cornucopiae,3.602389185,5.467433323,High,22.24913008
P.cornucopiae,8.900724392,28.16199603,High,24.84076934
P.cornucopiae,10.92186103,31.20900714,High,21.82415491
P.cornucopiae,18.95732766,14.02590371,High,22.53333304
P.cornucopiae,15.12787501,26.44271654,Low,21.27880106
P.cornucopiae,3.499988696,23.04158209,Low,22.90479052
P.cornucopiae,16.303481,19.54283119,Low,20.59868546
P.cornucopiae,6.266751236,24.30124003,Low,22.08510468
P.cornucopiae,15.26219573,1.23822819,Low,23.3071478
